Locations,Field,Soil fertility,Treatment,Period,Total Nitrogen (g kg-1),Soil organic carbon (g kg-1),pH (H20),Resin_Phosphorus (mg kg-1),Exchangeable_Potassium (mg kg-1),Sand (g kg-1),Silt (g kg-1),Clay (g kg-1)
Embu,2,High,NTR,Trial end,2.040507525742078,23.841386220625502,5.285,83.47804987711005,0.41413637648923246,110.0,160.0,710.0
Embu,2,High,CTM,Trial end,1.9694819823065792,18.9497803402571,5.65,48.02606949514308,0.7132348706203449,110.0,160.0,710.0
Embu,2,High,NTRM,Trial end,2.253378323151473,21.447324363273644,5.711,14.165896362519039,0.8504303241286211,110.0,160.0,710.0
Embu,3,High,C,Trial end,1.8695531568231725,17.581095566593095,5.91,0.2741163806128934,0.2175875784257012,120.0,160.0,710.0
Embu,3,High,NTR,Trial end,2.229401475288148,21.794338061544817,5.34,12.285559867866308,0.5896437724581528,120.0,160.0,710.0
Embu,3,High,CTM,Trial end,2.291354685470423,21.304458675454168,5.89,84.37234601206018,1.0000511535116885,120.0,160.0,710.0
Embu,3,High,NTRM,Trial end,2.692436675931499,24.996816830625836,6.104,82.57920398190082,1.544836052995038,120.0,160.0,710.0
Embu,4,High,C,Trial end,2.340833628913828,22.35768263341494,5.402,5.745826519244048,0.004569101093939799,130.0,150.0,720.0
Embu,4,High,NTR,Trial end,2.3762506816281768,23.327801839836198,5.369,6.821706780590352,0.237863829351885,130.0,150.0,720.0
Embu,4,High,CTM,Trial end,2.385028747101439,22.649837581456346,5.838,8.43324843963894,1.0742237454601258,130.0,150.0,720.0
Embu,4,High,NTRM,Trial end,2.6412361798132404,25.135421743740896,5.315,40.372037776521424,0.54679577928849,130.0,150.0,720.0
Embu,5,High,C,Trial end,1.7810029205611029,16.88828448747877,5.84,3.674395888728188,0.10873950089488012,71.8,159.0,770.0
Embu,5,High,NTR,Trial end,1.9986000434501432,20.164215596621446,5.74,10.314899133149511,0.5462500749179424,71.8,159.0,770.0
Embu,5,High,CTM,Trial end,1.8136838215976616,18.304257691677513,5.54,32.07955102818834,0.2515495027564227,71.8,159.0,770.0
Embu,5,High,NTRM,Trial end,2.1550105829423845,20.797962887922232,5.74,9.096649468777965,0.24503605249423452,71.8,159.0,770.0
Embu,6,High,C,Trial end,2.050663122253705,16.7463672568733,5.59,1.3654498995853956,0.004578239296127679,81.19999999999999,156.0,763.0
Embu,6,High,NTR,Trial end,2.2125854557123934,21.6744577613293,5.23,8.899750548767214,0.004578239296127679,81.19999999999999,156.0,763.0
Embu,6,High,CTM,Trial end,2.244589357374396,20.66737961922133,5.41,6.011547308754002,0.22236222428932959,81.19999999999999,156.0,763.0
Embu,6,High,NTRM,Trial end,2.2214960191444364,22.1997699140954,5.454,11.941546043152739,0.16343546984500484,81.19999999999999,156.0,763.0
Embu,7,High,C,Trial end,2.287752105017108,11.619051133382602,6.42,1.1028772130149833,0.00457366563049718,69.80000000000001,102.0,828.0
Embu,7,High,NTR,Trial end,2.2849753998799165,21.772714926211222,6.25,3.1373596306991973,1.0322686674418222,69.80000000000001,102.0,828.0
Embu,7,High,CTM,Trial end,2.1244713806860434,21.022477997788755,6.36,18.016259499707427,1.2380780219446528,69.80000000000001,102.0,828.0
Embu,7,High,NTRM,Trial end,2.4303181293495415,23.985960801785474,6.51,29.27598783617173,1.4268868779398591,69.80000000000001,102.0,828.0
Embu,8,High,C,Trial end,2.0557909451780714,11.3564628268753,5.54,0.050984292788235894,0.0045736656304971824,50.599999999999994,88.2,861.0
Embu,8,High,NTR,Trial end,1.9514636388782822,17.919263548951214,5.27,3.9853300769887094,0.27285272934585164,50.599999999999994,88.2,861.0
Embu,8,High,CTM,Trial end,1.9071167540548188,17.314512481739573,5.46,12.9034078988255,0.4499259398895365,50.599999999999994,88.2,861.0
Embu,8,High,NTRM,Trial end,1.99598867268972,17.963322438472428,5.46,1.686265692837652,0.10547379095048663,50.599999999999994,88.2,861.0
Embu,9,High,C,Trial end,2.667333588133535,15.768385257292,5.89,0.5130427227588982,0.044970120165782355,73.1,164.0,763.0
Embu,9,High,NTR,Trial end,2.445607785896952,24.0243442968676,5.34,43.56985598933635,0.32721886537420836,73.1,164.0,763.0
Embu,9,High,CTM,Trial end,2.4869351858199513,22.913041937723232,5.44,34.45166608709085,0.6330374699983632,73.1,164.0,763.0
Embu,9,High,NTRM,Trial end,2.7326652640660685,26.333344208040337,5.58,10.891486844580779,0.6493249359769447,73.1,164.0,763.0
Embu,10,High,C,Trial end,2.6340091580314984,20.7485251438007,5.72,1.078993684272639,0.5697918634641741,54.900000000000006,179.0,766.0
Embu,10,High,NTR,Trial end,2.687650164178068,26.42391370044247,5.58,5.728759707800747,0.8989533756554793,54.900000000000006,179.0,766.0
Embu,10,High,CTM,Trial end,2.7078967208419797,24.88767205319033,5.88,23.68944594649232,0.5493508997524549,54.900000000000006,179.0,766.0
Embu,10,High,NTRM,Trial end,2.7822912835882856,26.812281224508926,5.675,8.02972983684378,0.8074180666129104,54.900000000000006,179.0,766.0
Embu,11,Low,C,Trial end,2.366220926429711,21.643006693848037,5.79,5.064747297171699,0.44392573734725543,80.3,260.0,660.0
Embu,11,Low,NTR,Trial end,2.1556541602402337,28.580192588718,5.66,12.036007811140836,0.4184127639364936,80.3,260.0,660.0
Embu,11,Low,CTM,Trial end,2.6251303398982935,23.771735712659392,5.66,10.702097908598338,0.7989545488285794,80.3,260.0,660.0
Embu,11,Low,NTRM,Trial end,2.673945573513867,24.453028932309806,5.99,41.95437323367693,1.1080275418286154,80.3,260.0,660.0
Embu,12,Low,C,Trial end,2.2779649651700264,18.664361973237,5.37,6.153259832430087,0.0045736656304971824,134.0,345.0,522.0
Embu,12,Low,NTR,Trial end,2.3496763013571047,21.849203248550594,5.47,60.31401042580377,0.3930958483054352,134.0,345.0,522.0
Embu,12,Low,CTM,Trial end,2.43518231380547,21.999292699024082,5.52,7.922542109874046,0.21243662275466185,134.0,345.0,522.0
Embu,12,Low,NTRM,Trial end,2.5625051563731285,23.254100449167016,5.63,14.584542739939671,0.6515557183110511,134.0,345.0,522.0
Embu,13,High,C,Trial end,2.326752137427526,21.197225606499114,5.24,0.24797156646889593,0.17954882602690672,68.0,181.0,751.0
Embu,13,High,NTR,Trial end,2.4807665390647045,22.922465821539614,5.652,15.197234583409212,0.7190663724107181,68.0,181.0,751.0
Embu,13,High,CTM,Trial end,2.3853412071169187,21.07970885293089,5.38,40.63620758677662,0.4803626472254024,68.0,181.0,751.0
Embu,13,High,NTRM,Trial end,2.6535137113689404,25.208929847232454,5.55,18.375981700047753,0.6880147322113663,68.0,181.0,751.0
Embu,14,High,C,Trial end,2.5373817612710763,20.01849622265,6.02,1.0747077113460348,0.275677607902513,108.0,272.0,620.0
Embu,14,High,NTR,Trial end,2.6953801452295023,25.749301444310593,5.48,16.83844321551577,0.7154337299101737,108.0,272.0,620.0
Embu,14,High,CTM,Trial end,2.6938643111603264,25.15662327911478,5.804,54.92070191595548,0.9284362371476802,108.0,272.0,620.0
